instance by feature,delta,theta,alpha,beta,gamma
500113-0-0,6.315304438461609,4.225613894609201,8.91482402557212,4.290645628989161,2.846740451165849
6001131-1-0,6.1962712528477955,4.384298475354069,9.675227566051065,5.1640397074738225,13.949015896645392
6001131-2-1,5.413125578853117,4.8804814160228265,9.07605413020718,8.81382147363147,8.493053807810263
6001131-3-2,5.400955184130469,5.860441967455606,12.92728223341129,8.331974655216083,5.888388015659978
6001131-4-3,9.153282078165969,6.646125579742143,9.40963476796723,6.735454480832258,5.5391568582420625
500113-5-1,4.7782861265586,3.9837992570761704,12.419055552222506,6.560902902099327,9.839347249472523
500113-6-2,5.196612162614519,3.363974591045103,8.622540622151861,9.136394890169775,4.25787125282963
6001131-7-4,5.949864372946616,3.962086356973748,8.648302869137439,9.378784744467177,5.170027439140814
6001131-8-5,6.0068304448773215,5.459706074288448,8.68006712138191,6.293330586391619,8.675393763482722
6001131-9-6,5.784728724474507,4.657479731467034,8.447204492083884,5.78082009269031,4.457394127253383
6001131-10-7,6.140083124857002,4.945904814352677,9.064824923461389,5.5205850503900065,4.762382446361687
500113-11-3,4.419614813698777,3.8049878992827755,7.244275915850121,3.497109233677304,3.1279176804663997
500113-12-4,5.322424341987474,3.743890955677751,8.115820345988796,4.104456540671466,3.075279652053691
6001131-13-8,6.012993329543036,5.160481942053826,8.233871677553225,5.155317830385482,2.862126569355508
6001131-14-9,4.816730034061397,5.075538973946694,8.539568929107439,5.26479687603031,4.083511144909103
6001131-15-10,5.592144909706287,4.292023011669262,8.741801846323357,5.229644126422417,4.559345565070939
6001131-16-11,4.788298349329098,5.7411705919184755,8.905261066210365,5.419255788545121,5.164723667647114
500113-17-5,6.506336457795605,4.249657671448594,7.871329445680903,3.5621610741160783,1.6564796500231171
500113-18-6,4.819110993941058,3.3455803361019174,8.704372360718368,3.1286532578490074,0.20130847878167812
6001131-19-12,6.1146295163525535,4.552071605230638,7.799410716689828,4.518356286606852,2.8768218066527167
6001131-20-13,6.487832144249398,4.8450277980591405,9.633913551383928,4.734193650235816,2.883811562075889
6001130-21-0,6.323297723097285,5.470195913885974,8.276411338259635,5.3346979847483045,4.0956244173684535
6001131-22-14,6.482921388472137,5.999309441283769,8.055552757703202,5.90901254425771,4.512556471334557
500113-23-7,5.854922005467101,4.255893066746858,7.983313460938253,5.38355114828812,4.172485882611011
500113-24-8,5.068794792147172,3.0044029303387814,6.9709455178890085,2.980123711320539,1.3739764125072467
6001131-25-15,6.254401306129559,4.809053749796127,7.019678607341839,5.116802836291956,5.1596653294622
6001130-26-1,4.784992009778307,5.203217768255549,7.321762772665604,5.347333362280209,4.538479204109788
6001130-27-2,5.103532930117335,5.111227558685345,8.532727607346251,6.3428270628674275,5.995452374038664
6001130-28-3,4.944424616330664,4.939794569929619,8.449350814975695,6.336307711657065,4.460828398069824
500113-29-9,6.605243464665378,4.244987966971574,7.37166829452014,5.7285265633725535,5.844938970210432
500113-30-10,6.968097857318168,7.685980341500902,7.33463517059888,4.141672295665557,3.2995309286677648
6001131-31-16,5.354455967135303,3.0478408167650213,7.839802546303364,3.702062013061392,2.2512667607598367
6001131-32-17,6.454091241874865,4.950870698766374,7.597630320250007,3.862805764904273,3.4587018550119635
6001131-33-18,5.333857693228664,5.625233890419515,8.081985662002582,5.090431257419689,4.016836449591678
6001130-34-4,5.7331401201768655,5.36621511256332,7.462179106155457,6.685014232507202,6.658184725254832
500113-35-11,3.555134905128063,3.260630855760809,7.464506832967156,5.181800238320408,4.217388052363998
500113-36-12,4.429586504378674,2.7860568083491315,7.5647041824548324,2.7865380102004913,1.0567901250865261
6001131-37-19,5.973072507500145,7.479649241950925,7.898803349622491,4.7079890996388025,2.4227533007135382
6001131-38-20,5.763268078700712,7.013879750630882,7.763381287177787,5.345127049970248,3.153907459737203
6001131-39-21,6.888429307524369,5.445963638926259,8.09146121084142,4.884201498713072,3.448977950073847
6001131-40-22,6.030790874991185,6.070226488116149,7.098453822981834,5.434986581240627,3.9878008330712107
500113-41-13,5.889422095461653,4.488706366694471,8.861327915518173,4.83100457542614,3.0852603032209003
500113-42-14,4.020738172685704,3.244256551918027,6.508449471297359,2.7717692786281174,1.957839411805475
6001131-43-23,5.683029531783386,5.670643503460636,8.23905585947023,3.947382172594547,2.1681879730087923
6001131-44-24,6.013402481021728,6.770061908871538,8.53840548948348,4.940546776723016,2.789234915206811
6001131-45-25,7.491158436648197,5.001120387873878,6.923952601362748,4.912588779799776,3.196425078725768
6001131-46-26,5.890616012407777,6.6641045751978165,7.27701582917183,5.978684922804159,4.676996326626788
500113-47-15,6.741710077452984,3.0072896534956146,6.4329466347891895,4.988109641656675,1.9330329154916792
500113-48-16,6.7173777832054125,5.217519953549101,7.613215540931622,3.272079434503691,0.9770993720359505
6001131-49-27,6.3813698234479155,6.5460898673699415,7.3596738978405325,4.675831031797453,3.847066436818062
6001131-50-28,6.436544638431805,7.252528659302742,8.293370703840292,5.92717242590246,5.820744137081385
6001131-51-29,5.398837138443561,5.824856279572722,7.413147066083525,6.17257868388299,5.183238348548893
6001131-52-30,5.452213442579135,5.773619797192205,7.4750514321054835,5.813689465640596,5.228690720366665
500113-53-17,4.420587708415443,3.9720556475887485,7.084046186934109,3.1444763256646944,1.8355217190821826
