instance by feature,delta,theta,alpha,beta,gamma
500109-0-0,4.46201615357751,3.018937486900227,8.425611799454009,4.007503799106705,2.968143766494817
6001090-1-0,4.452269327598813,4.318663601133454,8.35403402078925,4.130890981493736,3.1193960757496924
6001090-2-1,5.596640668996751,4.358985536691358,10.052749120031107,9.213676368718241,5.162750173555684
6001091-3-0,5.130398550924532,4.439953821235981,10.604378826670892,8.715311627282297,7.72357602591482
6001091-4-1,4.8988115678129995,7.649704814997642,13.909969987809085,8.34149837678736,7.150056379078411
500109-5-1,5.940552021039852,3.9121495630902863,9.457184702400195,8.273547762931383,3.74802336523728
500109-6-2,5.210541980333572,2.9325093495882135,7.011215212819525,9.302875874662218,5.1278152081512625
6001091-7-2,6.725918053344181,3.110729990409675,9.0857939844077,5.389054045963038,9.62502053046991
6001091-8-3,5.37548303341103,4.336399007198165,8.783355668407378,5.628929109543269,11.563608210082592
6001091-9-4,6.19489479446791,4.87806541295446,8.593373188091,5.429125385105928,4.2611839647715755
6001091-10-5,5.086586141357307,5.142698314413666,9.776690446195168,5.779556749722543,4.917875157416465
500109-11-3,5.992472566278446,4.749979968982573,8.732704575092885,4.391856043930321,3.3503098506563815
500109-12-4,7.160711546784276,4.016637008230764,6.404652535861876,3.658460862165877,2.59005308341952
6001091-13-6,6.056722528755965,5.444226988010838,9.297373250297387,4.924715541525084,4.396627774555199
6001091-14-7,5.662149304026624,4.31586487989187,8.924018842254625,5.07047857602835,4.570947631596659
6001091-15-8,5.106050912779843,6.760370095226213,9.004364308806629,5.672544372604043,4.12968923876977
6001091-16-9,5.224308460094013,4.886965212617171,8.270339187480602,4.524439711828691,4.958783258437967
500109-17-5,4.648434312993774,3.7075485580160707,7.9666680195459145,4.60744961371669,3.187634817801888
500109-18-6,6.846818758174365,4.63643259934175,8.584808753584056,2.772949724260642,0.6994256384149874
6001091-19-10,6.535496105129593,4.224265763351761,8.536246191627521,2.7753447567905427,1.1647545310963998
6001091-20-11,6.4301121761622255,5.243873264689212,8.057304110214453,5.87033011714865,4.689033810993619
6001091-21-12,8.16573938954312,5.515945677807706,8.187533672294839,5.383134497896999,3.618254811127764
6001091-22-13,9.280359811413204,9.023959024823723,9.449240075652893,6.235495789339507,5.0601452836066185
500109-23-7,4.308862012996057,5.074216876419077,7.582548554122899,5.349398405054478,4.626531508348324
500109-24-8,7.747237564319812,3.5937004580883984,6.999801109454667,3.8465914218422315,3.864180383527534
6001091-25-14,5.8950462424377745,6.451148962837828,8.019039930173554,4.4739881605022305,3.4931777178781314
6001091-26-15,6.0886765459479575,5.933850976864919,8.122716238687712,5.914093036505949,4.693829337464793
6001091-27-16,5.631909737372423,6.787890613975398,9.935701013003504,6.306490816364682,5.906358619258921
6001091-28-17,4.897138368818264,4.2536862695312925,6.902381982672399,5.572268245039087,4.287991876261159
500109-29-9,6.138886748593217,4.206459060505765,7.807511226056115,5.366252841861173,4.737339981960469
500109-30-10,3.6250654022782407,2.2727298729919205,6.944217809250131,2.6097429713920173,0.08028611986559564
6001091-31-18,6.222108005995251,3.692580743763753,7.969706522574381,5.745915368821967,5.986476201994987
6001091-32-19,7.092359573904147,6.367447053121684,8.053496728151343,5.928425830211579,5.08071299774092
6001091-33-20,6.28398060185025,6.283034539571132,7.024764885691848,7.454538653642671,7.743193814690655
6001091-34-21,6.65696677151455,4.054255300694085,7.024357199063818,6.62364020973521,5.559087365825805
500109-35-11,5.161988381114428,4.644124769267498,6.537998699574915,4.698088672895812,2.87116822380421
500109-36-12,5.85675673918962,1.0790905103032427,5.368161050996339,3.744617149983818,4.475221581911359
6001091-37-22,5.19172879080615,5.511090620463877,5.949100969064706,4.2366781671705525,3.5627930121890197
6001091-38-23,6.01416974615148,6.194350740723128,7.031981885702531,3.4303109162661323,1.8333974129347472
6001091-39-24,5.202107134941596,5.246530020594245,7.306748962538389,5.437962103362567,3.9269693626113527
6001091-40-25,7.093870252206871,6.402994983096964,7.088353118663188,5.815540597317036,5.103115749075256
500109-41-13,8.219471143516568,4.74618021224161,8.3775540551339,5.200595057302261,4.4697090327492335
500109-42-14,3.909752782394879,2.7300408550464605,5.791410515235154,3.020466895819137,2.5904052394968446
6001091-43-26,6.722056099298856,6.7927734194408655,7.422074004389283,3.9667334817790025,3.1895322225303286
6001091-44-27,7.217634581557162,8.545601090391125,8.696878492355074,4.3407477034704005,3.8749839984274823
6001090-45-2,8.391001739484318,4.547551223369352,9.083313381839874,5.590036186258977,3.7468586470284158
6001090-46-3,6.634493662623927,5.957672941758105,7.963764463209437,4.976038747129396,5.672344498755632
500109-47-15,5.096771832062325,3.999621564409022,6.158067260923679,4.131431139720436,1.650730624663509
500109-48-16,5.34860897238281,2.8199964799890997,7.119259395306522,2.6720758909623683,0.3747227121912946
6001091-49-28,5.272527026376484,5.36597949263283,7.393864603765258,4.589032788559383,2.534274596751254
6001091-50-29,6.399229292728977,6.334376433172669,7.570706949555848,5.905763241889219,3.9866740601521924
6001091-51-30,6.821302919241058,5.921374816563223,7.721858679910486,5.841699961097299,4.671663191022351
6001091-52-31,7.45352748661618,4.557745007930352,8.15116148170129,4.901731725960042,2.9226213814027493
500109-53-17,5.182812015506594,4.883314706015957,5.431320807697783,3.1037715040719918,0.7773892749161366
