instance by feature,delta,theta,alpha,beta,gamma
500105-0-0,11.468345188952394,10.603653637291517,23.460883958390347,11.886993029817878,7.580229098806925
6001051-1-0,17.68973162126467,15.948457998021691,27.805974391909764,14.188803921609319,9.689741105015077
6001051-2-1,15.134386842418243,16.29968065122487,26.97100930813442,14.713166931561345,8.96235400161488
6001051-3-2,11.867334292700594,14.609462974385641,27.976671524954316,14.863103026088154,11.103137137641953
6001051-4-3,12.53031974644462,14.894695226777744,27.897686198827135,15.33977463242529,10.029736753547168
500105-5-1,16.619461729548448,15.649396198810406,27.197102261145794,13.327748487950396,8.288452955346546
500105-6-2,15.353002211622334,14.35028036287578,26.310261027218942,14.08269390592851,8.110713863881115
6001051-7-4,16.56956696616532,16.623854591252428,27.90848468726386,15.602608090577041,8.539533510344356
6001051-8-5,16.011731264008475,15.817938422171343,28.01409953419196,14.424723310544467,9.62451627621135
6001051-9-6,16.08600343160009,17.037144669273125,27.96504147607392,14.261072598244214,10.261492376604572
6001051-10-7,12.690250849385624,17.287353871693078,26.27537773121689,13.775487494847928,8.739737288332979
500105-11-3,13.343729420079475,14.028724531492216,26.464038122807708,14.04770897429267,7.495017510230774
500105-12-4,16.461810672341503,13.890093496248975,27.150189340094226,14.314859523223353,8.288504020350226
6001051-13-8,15.388132227481378,16.300220207435917,26.47011947052914,12.93432277804376,8.152755155768068
6001051-14-9,13.89957755795615,14.555105561877062,27.360196168689697,14.207810085976497,9.51127022947264
6001051-15-10,14.069114028251448,13.593076889599798,26.96004605875979,13.975039335325485,8.603010087596019
6001051-16-11,14.250451590765255,16.151136348064984,26.830033726030436,14.764438738370956,10.284352479318892
500105-17-5,15.19324919881681,13.549602837895836,24.877828725801656,13.971636476789843,9.458351558323987
500105-18-6,16.930040547296677,17.481254160914727,27.882061302509847,13.558081744643534,7.303913105083769
6001051-19-12,15.11845922117501,16.614608690136837,25.976033776310857,12.454162171957613,6.987239540480573
6001051-20-13,15.16526812161619,18.304893206765637,25.99415885041716,13.16863793618243,8.614113073012312
6001051-21-14,14.870593069985281,17.492951132494635,26.779220131875515,13.29082639652252,7.531752803158388
6001051-22-15,14.582602927317065,15.068327261834224,25.91554753618257,12.804240140101207,6.7845176962212514
500105-23-7,17.805850895952453,18.115275702607136,27.20909829260177,12.191141062029601,7.549515393528108
500105-24-8,15.822873835978191,14.537951982054713,25.77709386161758,12.417476232054987,7.619880560051905
6001051-25-16,14.840862547980526,16.060505134666062,27.440390459991047,14.817839774200229,9.07445719138636
6001051-26-17,14.562002810747671,18.838804973269223,26.90613358630854,15.6464862398759,9.836787262884469
6001051-27-18,16.4974127507761,17.792134342198146,28.42264289448692,14.751552328035086,9.12401921357235
6001051-28-19,16.76549316899513,16.262569152019573,26.974237859813808,14.88047343170408,8.85796135267485
500105-29-9,15.497965489685765,14.919933525870826,27.161893349743124,13.88468737169935,9.824366938897063
500105-30-10,15.63444951697613,13.874059780926709,28.188151914760457,13.845059556572807,7.214455807418595
6001051-31-20,15.019992228648883,15.729136665640132,27.054849555176105,12.90720901692651,6.8782940172977325
6001051-32-21,14.129126811764564,17.902878821518225,27.25942428982847,14.526244084522048,8.493051254792215
6001051-33-22,16.36523687905601,16.522672889744033,27.361956768940043,14.684431215615957,8.582203364209638
6001051-34-23,16.862251622296668,17.28343578880939,26.67283406187021,13.285763115768612,7.893188344660884
500105-35-11,15.663759537282889,16.082375627740653,25.310741702478797,12.824441118189084,9.123298970928811
500105-36-12,15.770418953293255,15.744191526853811,26.272182304436644,12.505319622844665,7.339424497816599
6001051-37-24,14.292525026179003,15.658033806134146,26.583916826578278,13.358373671433908,8.283641678958203
6001051-38-25,14.16368523096292,14.404264983442701,24.37405298475719,13.220552051019292,9.59831905639191
6001051-39-26,16.556513495470643,17.581731971867708,25.489635380869736,14.331822782896037,7.9090770200956335
6001051-40-27,14.017964724075892,17.15418079077426,27.649285212961153,13.634841956299761,8.269327897858856
500105-41-13,13.455076306095012,13.766356453664583,25.465804849323764,12.550481563195548,6.200223930659895
500105-42-14,11.62888186769426,14.594067670000143,25.926354105735857,12.544845893417351,8.066144732931118
6001051-43-28,13.525241967571157,15.732419316831548,25.280230996782283,13.217672589116134,7.984064168720323
6001051-44-29,14.87942920816426,17.443780156094007,26.959120501458234,13.40439189981374,9.603416154428738
6001051-45-30,18.224508652988806,18.689873645336338,28.12005343140317,13.970829890406527,8.90619036801664
6001051-46-31,14.447805829718456,17.577645708503994,26.91958492907102,13.77290084375622,10.245341311960741
500105-47-15,13.029901724658492,12.308851853367887,23.50961583581244,12.14972464478006,8.104547755288573
500105-48-16,14.007613718063876,14.344978175433772,26.416945652735475,12.610897999482326,6.339384280802642
6001051-49-32,16.873082701305048,16.991884039605385,26.662955466448395,12.55092362915367,6.937354196093567
6001051-50-33,14.09845027343062,15.554478838214022,26.658008342070236,12.88330665268335,6.913476210608838
6001051-51-34,15.862955875813952,16.876985375035513,26.814602138934802,14.43084681752686,10.242115031464042
6001051-52-35,15.372202272010147,17.60296739480161,26.642603061176374,14.339000683004267,8.895141531802963
500105-53-17,13.857925082734193,16.26391801924169,25.686725357899792,13.710575667123129,7.265617370780641
