instance by feature,delta,theta,alpha,beta,gamma
500109-0-0,16.516258118177763,15.165021976142175,27.74960712353952,13.684120326919288,8.294368665267314
6001090-1-0,13.754249003168349,14.79774151936075,26.582975189923328,14.008561922332895,8.639111335985644
6001090-2-1,15.858446133417761,16.336016977431214,27.659875893412888,15.180963853882464,9.347042969780825
6001091-3-0,15.927021764624754,15.727252223346728,26.631405205118103,14.665629363116208,9.565602826907236
6001091-4-1,15.09817264750752,16.936395251420855,26.58038239021178,14.557489511681357,9.13562175823553
500109-5-1,16.488782956198555,16.217263137091187,28.545955575882804,14.399811326916732,8.66826588750824
500109-6-2,17.221490778909956,15.22875109646765,27.795748720652078,14.048694170933427,9.892434646728896
6001091-7-2,16.30156669833459,16.655809902169036,27.5355634635495,14.189480906773989,9.277923244639807
6001091-8-3,14.930959534368181,15.87709573516185,27.29314884678649,14.615939803851669,9.947744476715508
6001091-9-4,16.195801903141962,16.03754442848298,28.30824598004994,14.800447042081856,9.39155524411948
6001091-10-5,13.854629977769196,15.160829745693665,27.530835332770767,14.302101441267181,9.684532329640868
500109-11-3,15.964320476810599,17.87744674263411,28.036208496680807,13.834450040637696,7.906096458966793
500109-12-4,15.430767647851624,14.961825402608737,26.612155191411702,12.57490019994838,7.788160780068438
6001091-13-6,14.824840458695878,17.033308385017783,27.35439033648975,15.262001797268262,9.496625863581487
6001091-14-7,15.456787039312886,16.81948597458118,26.728477467164932,14.948425915716209,10.052837781906911
6001091-15-8,12.728215373368137,17.129350988384495,26.62708608060683,14.532219886584974,8.74662101334224
6001091-16-9,16.632522474137367,17.01516495020376,28.299873068439254,14.30231063514421,11.013816814357165
500109-17-5,16.55893344462494,16.842949927524167,27.267192357266644,14.513959757539997,8.381415818897851
500109-18-6,14.792912284900273,14.763914221734558,26.337150378965404,11.811348285134438,6.470779353524075
6001091-19-10,15.445792030834852,14.333394596522297,28.27264201158842,13.60877456676209,6.053584385844895
6001091-20-11,15.681572179468736,17.565543729752072,27.037379158855636,14.21454954935146,9.574807921160042
6001091-21-12,16.881914725113187,19.651368687133584,26.948170864490578,13.525656795707834,8.16003479799699
6001091-22-13,15.355101044952296,18.20718759426895,27.02285979147235,14.314919615125776,9.05620197357408
500109-23-7,17.022293413705984,16.660216524090423,26.553111922880685,13.288552851350225,9.204653186901123
500109-24-8,15.612390019043673,15.343478143460349,25.892304922968922,12.985981641057384,8.858638491502441
6001091-25-14,15.075103017156488,16.048481485855184,26.781591173488913,13.30734908804564,7.742738201884681
6001091-26-15,14.845877949555085,16.28646946187634,27.153561867336247,14.34027965071517,9.587960587033232
6001091-27-16,16.85629703465077,18.19443116713153,27.275247714151533,14.680782187437107,9.64975252173879
6001091-28-17,15.173463128258863,18.074039792069428,27.229444733507908,13.475695784178173,8.4545016528334
500109-29-9,16.1663741281423,16.87941916284129,27.390821859507422,13.418273966535565,9.74523868359107
500109-30-10,14.983003742353878,14.643803914314857,27.409051591399173,13.400596699604419,7.151341887987974
6001091-31-18,16.33241399053697,17.595465519887856,26.985385822113667,14.748010617945978,10.005766763407303
6001091-32-19,13.743786864994268,16.287874883217732,27.215562176477466,14.939951577189419,9.99145568283923
6001091-33-20,16.174168961884185,17.40346384514954,26.846255337037547,15.152394380529417,11.269550575074378
6001091-34-21,14.702722520457783,18.31272029808468,26.73734154318218,14.18112768442997,9.18087662666662
500109-35-11,16.254368838243227,18.49920339114854,28.040886131102848,12.867638324870645,6.971094217014297
500109-36-12,15.152569435964091,15.274864135272319,26.904784983775674,12.464504438362027,8.413777781879583
6001091-37-22,12.529707750845642,14.11406994191095,24.802036931500997,12.182868136047135,7.89045761323454
6001091-38-23,14.875150339560637,14.89311769778459,26.27243603640289,12.470614603272884,7.967204314344109
6001091-39-24,13.343265395465886,16.62341978604713,26.08300479520495,14.16518898170347,8.350990248749653
6001091-40-25,14.763604459512901,16.1896004203106,25.423096938044345,13.689256334902119,8.656473840448527
500109-41-13,16.18511674151501,15.903848910828101,26.553399889226927,14.416763532436438,8.714523310092734
500109-42-14,14.838079842518848,14.79599946797472,24.926367392801165,12.618745143834888,6.4128738600796495
6001091-43-26,13.88561039197576,16.63794033808262,26.441999237327185,12.800924983846565,7.767798005898331
6001091-44-27,14.928379649022526,16.381902735245696,26.575310043697975,13.876865323877594,10.983895597305752
6001090-45-2,17.560764494122072,17.58288275441696,27.31410953533505,14.534432984837972,9.436718943191671
6001090-46-3,17.14594928503149,17.274249957331268,26.419615329433853,14.888528034669074,13.724268737496558
500109-47-15,15.191708870053493,15.859592534870663,26.335454783344915,12.82665638509269,6.53939913175267
500109-48-16,14.74346535354324,17.706916585268115,26.94361174119183,12.32370308171127,6.820343352408873
6001091-49-28,13.368100681539365,15.286528880095476,27.00985173505521,13.693533619438957,8.260470341298262
6001091-50-29,15.821704729747438,17.354799430298666,25.917014817083388,13.959879879719587,8.087442922713635
6001091-51-30,15.601885540759918,17.03821618517782,25.882128550370233,13.985334607520938,9.517654927525912
6001091-52-31,15.533253197673124,17.261046718693397,27.21415009801694,13.909161312971298,8.450457832495163
500109-53-17,14.841921398076469,15.489376487876639,25.663740089163706,11.841341955657084,6.365229777940495
