instance by feature,workload
500113-0-0,0.154281891
6001131-1-0,0.164330683
6001131-2-1,0.180944322
6001131-3-2,0.221780279
6001131-4-3,0.245170062
500113-5-1,0.149251418
500113-6-2,0.12132295
6001131-7-4,0.142803733
6001131-8-5,0.203482055
6001131-9-6,0.170483214
6001131-10-7,0.180406656
500113-11-3,0.143316612
500113-12-4,0.135196331
6001131-13-8,0.189258093
6001131-14-9,0.180504909
6001131-15-10,0.156152288
6001131-16-11,0.210426764
500113-17-5,0.15744994
500113-18-6,0.122795315
6001131-19-12,0.170891934
6001131-20-13,0.179922012
6001130-21-0,0.201298655
6001131-22-14,0.223769589
500113-23-7,0.156605418
500113-24-8,0.11703215
6001131-25-15,0.17918661
6001130-26-1,0.197656831
6001130-27-2,0.190180204
6001130-28-3,0.182037115
500113-29-9,0.173291238
500113-30-10,0.29020894
6001131-31-16,0.112390685
6001131-32-17,0.185046611
6001131-33-18,0.206805534
6001130-34-4,0.200797338
500113-35-11,0.122339653
500113-36-12,0.102684379
6001131-37-19,0.280489631
6001131-38-20,0.264491329
6001131-39-21,0.209411776
6001131-40-22,0.232866011
500113-41-13,0.164303159
500113-42-14,0.121390129
6001131-43-23,0.216876923
6001131-44-24,0.259683528
6001131-45-25,0.188787933
6001131-46-26,0.258929018
500113-47-15,0.1157012
500113-48-16,0.195556472
6001131-49-27,0.241178392
6001131-50-28,0.27738207
6001131-51-29,0.22633648
6001131-52-30,0.22481489
500113-53-17,0.147769687
