instance by feature,workload
500105-0-0,0.134466169
6001051-1-0,0.133789689
6001051-2-1,0.202226294
6001051-3-2,0.256886693
6001051-4-3,0.358934971
500105-5-1,0.101521586
500105-6-2,0.059087316
6001051-7-4,0.124896349
6001051-8-5,0.210194659
6001051-9-6,0.203281032
6001051-10-7,0.176712241
500105-11-3,0.125592132
500105-12-4,0.133290532
6001051-13-8,0.189972518
6001051-14-9,0.204412303
6001051-15-10,0.222873653
6001051-16-11,0.170156157
500105-17-5,0.165514384
500105-18-6,0.147326102
6001051-19-12,0.211246672
6001051-20-13,0.239494559
6001051-21-14,0.198434839
6001051-22-15,0.193439356
500105-23-7,0.247727715
500105-24-8,0.060537205
6001051-25-16,0.15618633
6001051-26-17,0.190665386
6001051-27-18,0.245808378
6001051-28-19,0.13290605
500105-29-9,0.100610771
500105-30-10,0.058654387
6001051-31-20,0.162484303
6001051-32-21,0.297711062
6001051-33-22,0.215741813
6001051-34-23,0.209133098
500105-35-11,0.032810499
500105-36-12,0.140215646
6001051-37-24,0.166571223
6001051-38-25,0.182699872
6001051-39-26,0.289383257
6001051-40-27,0.206846787
500105-41-13,0.117446926
500105-42-14,0.163513372
6001051-43-28,0.16868548
6001051-44-29,0.206313001
6001051-45-30,0.094033088
6001051-46-31,0.25812814
500105-47-15,0.218032346
500105-48-16,0.197686696
6001051-49-32,0.161112447
6001051-50-33,0.28146394
6001051-51-34,0.151258401
6001051-52-35,0.147464114
500105-53-17,0.26335378
