instance by feature,theta
500109-0-0,3.018937486900227
6001090-1-0,4.318663601133454
6001090-2-1,4.358985536691358
6001091-3-0,4.439953821235981
6001091-4-1,7.649704814997642
500109-5-1,3.9121495630902863
500109-6-2,2.9325093495882135
6001091-7-2,3.110729990409675
6001091-8-3,4.336399007198165
6001091-9-4,4.87806541295446
6001091-10-5,5.142698314413666
500109-11-3,4.749979968982573
500109-12-4,4.016637008230764
6001091-13-6,5.444226988010838
6001091-14-7,4.31586487989187
6001091-15-8,6.760370095226213
6001091-16-9,4.886965212617171
500109-17-5,3.7075485580160707
500109-18-6,4.63643259934175
6001091-19-10,4.224265763351761
6001091-20-11,5.243873264689212
6001091-21-12,5.515945677807706
6001091-22-13,9.023959024823723
500109-23-7,5.074216876419077
500109-24-8,3.5937004580883984
6001091-25-14,6.451148962837828
6001091-26-15,5.933850976864919
6001091-27-16,6.787890613975398
6001091-28-17,4.2536862695312925
500109-29-9,4.206459060505765
500109-30-10,2.2727298729919205
6001091-31-18,3.692580743763753
6001091-32-19,6.367447053121684
6001091-33-20,6.283034539571132
6001091-34-21,4.054255300694085
500109-35-11,4.644124769267498
500109-36-12,1.0790905103032427
6001091-37-22,5.511090620463877
6001091-38-23,6.194350740723128
6001091-39-24,5.246530020594245
6001091-40-25,6.402994983096964
500109-41-13,4.74618021224161
500109-42-14,2.7300408550464605
6001091-43-26,6.7927734194408655
6001091-44-27,8.545601090391125
6001090-45-2,4.547551223369352
6001090-46-3,5.957672941758105
500109-47-15,3.999621564409022
500109-48-16,2.8199964799890997
6001091-49-28,5.36597949263283
6001091-50-29,6.334376433172669
6001091-51-30,5.921374816563223
6001091-52-31,4.557745007930352
500109-53-17,4.883314706015957
