instance by feature,theta
500113-0-0,4.225613894609201
6001131-1-0,4.384298475354069
6001131-2-1,4.8804814160228265
6001131-3-2,5.860441967455606
6001131-4-3,6.646125579742143
500113-5-1,3.9837992570761704
500113-6-2,3.363974591045103
6001131-7-4,3.962086356973748
6001131-8-5,5.459706074288448
6001131-9-6,4.657479731467034
6001131-10-7,4.945904814352677
500113-11-3,3.8049878992827755
500113-12-4,3.743890955677751
6001131-13-8,5.160481942053826
6001131-14-9,5.075538973946694
6001131-15-10,4.292023011669262
6001131-16-11,5.7411705919184755
500113-17-5,4.249657671448594
500113-18-6,3.3455803361019174
6001131-19-12,4.552071605230638
6001131-20-13,4.8450277980591405
6001130-21-0,5.470195913885974
6001131-22-14,5.999309441283769
500113-23-7,4.255893066746858
500113-24-8,3.0044029303387814
6001131-25-15,4.809053749796127
6001130-26-1,5.203217768255549
6001130-27-2,5.111227558685345
6001130-28-3,4.939794569929619
500113-29-9,4.244987966971574
500113-30-10,7.685980341500902
6001131-31-16,3.0478408167650213
6001131-32-17,4.950870698766374
6001131-33-18,5.625233890419515
6001130-34-4,5.36621511256332
500113-35-11,3.260630855760809
500113-36-12,2.7860568083491315
6001131-37-19,7.479649241950925
6001131-38-20,7.013879750630882
6001131-39-21,5.445963638926259
6001131-40-22,6.070226488116149
500113-41-13,4.488706366694471
500113-42-14,3.244256551918027
6001131-43-23,5.670643503460636
6001131-44-24,6.770061908871538
6001131-45-25,5.001120387873878
6001131-46-26,6.6641045751978165
500113-47-15,3.0072896534956146
500113-48-16,5.217519953549101
6001131-49-27,6.5460898673699415
6001131-50-28,7.252528659302742
6001131-51-29,5.824856279572722
6001131-52-30,5.773619797192205
500113-53-17,3.9720556475887485
